GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
products,br.com.alura.maven,Product,45,14,3,0,8,5,6,2,4,2
products,br.com.alura.maven,App,19,0,0,0,4,0,2,0,2,0
